Category:སྒྲོམ་གཞི།	Categoria:Template
མོང་རོ་ཝི་ཡ།	Monrovia
ཕུ་ར་ཡ།	Praia
ཇ་ཝ།	Giava
ཨ་ཁ་ར།	Accra
དྷ་མ་སི་ཁོ་སི།	Damasco
ཡམ་སོ་ཁེ་རོ།	Yamoussoukro
ཨོ་འ་ག་དོའུ་གོའུ།	Ouagadougou
ཕིརི་ཊའུན།	Freetown
ཡ་མ་སོན་གཙང་པོ།	Rio delle Amazzoni
ཨ་པུ་ཅ།	Abuja
ལཱོ་མེ།	Lomé
པོར་ཊོ་-ནོ་བོ།	Porto-Novo
